Stany magazynowe towarów: na dzień 2026-09-07, jednostka dodatkowa1	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
04S12/11 F/F l.br		Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz		szt		0	0,00	0,00		
04S12/12 F/F		Sklejka liściasta foliowana 4x1500x3000 F/F		szt		46	180,18	8288,31		
04S12/12 F/F EUK		Sklejka foliowana eukaliptus 4x1500x3000 F/F		szt		0	0,00	0,00		
04S12/12 F/F grey		Sklejka liściasta foliowana 4x1500x3000 F/F grey		szt		0	0,00	0,00		
04S12/12 F/F grey/d.br		Sklejka liściasta foliowana 4x1500x3000 F/F grey/dark brown		szt		239,998	273,38	65611,26		
04S12/29 F/F		Sklejka liściasta foliowana 4x1250x3050 F/F		szt		0	0,00	0,00		
04S13/05 F/F		Sklejka liściasta foliowana 4x1250x2500 F/F		szt		0	0,00	0,00		
04S13/05 F/F SRT		Sklejka liściasta foliowana 4x1250x2500 F/F		szt		116,96	97,01	11345,98		
04S13/11 F/F grey		Sklejka liściasta foliowana 4x1525x3050 F/F szary		szt		22,0031	129,38	2846,81		
04S13/11 F/F l.br		Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz		szt		0	0,00	0,00		
04S13/12 F/F		Sklejka liściasta foliowana 4x1500x3000 F/F		szt		41,9992	165,39	6946,42		
04S13/12 F/F grey		Sklejka liściasta foliowana 4x1500x3000 F/F grey		szt		0	0,00	0,00		
04S13/12 F/F grey/d.br.		Sklejka liściasta foliowana 4x1500x3000 F/F szara/ciemny brąz		szt		47	150,52	7074,21		
04S14/05 F/W CH		Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/W		szt		0	0,00	0,00		
04S18/02		Sklejka liściasta suchotrwała 4x1525x1525 CP/C		szt		0	0,00	0,00		
04S18/04 E		Sklejka liściasta wodoodporna 4x2440x1220mm CP/C		szt		0	0,00	0,00		
04S18/05 E		Sklejka liściasta wodoodporna 4x1250x2500 CP/C		szt		0	0,00	0,00		
04S18/06 E		Sklejka liściasta wodoodporna 4x2500x1250 CP/C		szt		0	0,00	0,00		
04S18/11 E		Sklejka liściasta wodoodporna 4x1525x3050 CP/C		szt		0	0,00	0,00		
04S18/12 E		Sklejka liściasta wodoodporna 4x1500x3000 CP/C		szt		23,7194	99,44	2358,69		
04S22/02		Sklejka liściasta suchotrwała 4x1525x1525 BB/C		szt		0	0,00	0,00		
04S22/04 E		Sklejka liściasta wodoodporna 4x2440x1220		szt		0	0,00	0,00		
04S22/05 E		Sklejka liściasta wodoodporna 4x1250x2500 BB/C		szt		0	0,00	0,00		
04S22/06 E		Sklejka liściasta wodoodporna 4x2500x1250 BB/C		szt		0	0,00	0,00		
04S22/11 E		Sklejka liściasta wodoodporna 4x1525x3050 BB/C		szt		0	0,00	0,00		
04S22/12 E		Sklejka liściasta wodoodporna 4x1500x3000 BB/C		szt		0	0,00	0,00		
05S02/02		Sklejka liściasta suchotrwała 5x1525x1525 B/BB		szt		0	0,00	0,00		
05S04/02		Sklejka liściasta suchotrwała 5x1525x1525 BB/BB		szt		0	0,00	0,00		
05S04/11 E		Sklejka liściasta wodoodporna 5x1525x3050 BB/BB		szt		0	0,00	0,00		
05S05/02		Sklejka liściasta suchotrwała 5x1525x1525 BB/CP		szt		0	0,00	0,00		
