Stany magazynowe towarów: na dzień 2026-04-27, jednostka dodatkowa2					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
04S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 4x1250x2500 F/F grey/dark brown	m3	5,1191	11595,68	59359,5
04S12/05 F/F l.br.	Sklejka liściasta foliowana 4x1250x2500 F/F light brown	m3	0	0	0
04S12/05 F/F TE	Sklejka liściasta foliowana topolowa 4x1250x2500 F/F	m3	0	0	0
04S12/07 F/F grey	Sklejka liściasta foliowana 4x1500x2500 F/F grey	m3	0	0	0
04S12/09 F/F grey	Sklejka liściasta foliowana 4x1525x2500 F/F grey	m3	0	0	0
04S12/09 F/F grey/d.br	Sklejka liściasta foliowana 4x1525x2500 F/F grey/dark brown	m3	0	0	0
04S12/11 F/F	Sklejka liściasta foliowana 4x1525x3050 F/F	m3	0	0	0
04S12/11 F/F grey	Sklejka liściasta foliowana 4x1525x3050 F/F grey	m3	0	0	0
04S12/11 F/F l.br	Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz	m3	0	0	0
04S12/12 F/F	Sklejka liściasta foliowana 4x1500x3000 F/F	m3	0,828	10010,04	8288,31
04S12/12 F/F EUK	Sklejka foliowana eukaliptus 4x1500x3000 F/F	m3	0	0	0
04S12/12 F/F grey	Sklejka liściasta foliowana 4x1500x3000 F/F grey	m3	0	0	0
04S12/12 F/F grey/d.br	Sklejka liściasta foliowana 4x1500x3000 F/F grey/dark brown	m3	2,34	15276,39	35746,2
04S12/29 F/F	Sklejka liściasta foliowana 4x1250x3050 F/F	m3	0	0	0
04S13/05 F/F	Sklejka liściasta foliowana 4x1250x2500 F/F	m3	2,0999	8489,39	17826,76
04S13/11 F/F grey	Sklejka liściasta foliowana 4x1525x3050 F/F szary	m3	0,4094	6954,09	2846,81
04S13/11 F/F l.br	Sklejka liściasta foliowana 4x1525x3050 F/F jasny brąz	m3	0	0	0
04S13/12 F/F	Sklejka liściasta foliowana 4x1500x3000 F/F	m3	0,756	9188,56	6946,42
04S13/12 F/F grey	Sklejka liściasta foliowana 4x1500x3000 F/F grey	m3	0	0	0
04S14/05 F/W CH	Sklejka liściasta (brzoza/topola) foliowana 4x1250x2500 F/W	m3	0	0	0
04S18/02	Sklejka liściasta suchotrwała 4x1525x1525 CP/C	m3	0	0	0
04S18/04 E	Sklejka liściasta wodoodporna 4x2440x1220mm CP/C	m3	0	0	0
04S18/05 E	Sklejka liściasta wodoodporna 4x1250x2500 CP/C	m3	0	0	0
04S18/06 E	Sklejka liściasta wodoodporna 4x2500x1250 CP/C	m3	0	0	0
04S18/11 E	Sklejka liściasta wodoodporna 4x1525x3050 CP/C	m3	0	0	0
04S18/12 E	Sklejka liściasta wodoodporna 4x1500x3000 CP/C	m3	1,1469	5354,41	6141,24
04S22/02	Sklejka liściasta suchotrwała 4x1525x1525 BB/C	m3	0	0	0
04S22/04 E	Sklejka liściasta wodoodporna 4x2440x1220	m3	0	0	0
04S22/05 E	Sklejka liściasta wodoodporna 4x1250x2500 BB/C	m3	0	0	0
04S22/06 E	Sklejka liściasta wodoodporna 4x2500x1250 BB/C	m3	0	0	0
04S22/11 E	Sklejka liściasta wodoodporna 4x1525x3050 BB/C	m3	0	0	0
04S22/12 E	Sklejka liściasta wodoodporna 4x1500x3000 BB/C	m3	0	0	0
05S02/02	Sklejka liściasta suchotrwała 5x1525x1525 B/BB	m3	0	0	0
05S04/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/BB	m3	0	0	0
05S04/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/BB	m3	0	0	0
05S05/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/CP	m3	0	0	0
05S05/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/CP	m3	0,0149	5634,96	83,82
05S05/06 E	Sklejka liściasta wodoodporna 5x2500x1250 BB/CP	m3	0	0	0
05S05/09 E	Sklejka liściasta wodoodporna 5x1525x2500 BB/CP	m3	0	0	0
05S05/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/CP	m3	0	0	0
05S05/28 E	Sklejka liściasta wodoodporna 5x1525x3000 BB/CP	m3	0	0	0
05S06/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/WG	m3	0	0	0
05S06/60 E	Sklejka liściasta wodoodporna 5x1250x2750 BB/WG	m3	0	0	0
05S07/03 E	Sklejka liściasta wodoodporna 5x1220x2440 CP/CP	m3	0	0	0
05S07/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/CP	m3	0	0	0
05S07/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/CP	m3	0	0	0
05S10/02	Sklejka liściasta suchotrwała 5x1525x1525 C/C	m3	0	0	0
05S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F szara/ciemny brąz	m3	28,7171	13433,64	385775,12
05S12/09 F/F grey/d.br.	Sklejka liściasta foliowana 5x1530x2500 F/F szara/ciemny brąz	m3	22,9638	15414,57	353976,66
05S12/12 F/F grey/d.br	Sklejka liściasta foliowana 5x1500x3000 F/F grey/dark brown	m3	0	0	0
05S13/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F grey/dark brown	m3	3,2963	5967,69	19671,21
05S13/09 F/F grey/d.br.	Sklejka liściasta foliowana 5x1525x2500 F/F szara/ciemnobrązowa	m3	0	0	0
05S18/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/C	m3	0	0	0
05S18/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/C	m3	0	0	0
05S18/12 E	Sklejka liściasta wodoodporna 5x1500x3000 CP/C	m3	0	0	0
05S22/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/C	m3	0	0	0
05S22/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/C	m3	0	0	0
05S22/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/C	m3	0	0	0
05S22/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/C	m3	0	0	0
065S/ALU E	sklejka liściasta WD, gr. 6,5mm	m3	0	0	0
065S04/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/BB	m3	0	0	0
065S04/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/BB	m3	0	0	0
065S04/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/BB	m3	0	0	0
065S04/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/BB	m3	0	0	0
065S04/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/BB	m3	1,17	6853,11	8018,14
065S05/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/CP	m3	6,7032	6196,56	41536,59
065S05/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/CP	m3	1,6832	5750	9678,31
065S05/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/CP	m3	0	0	0
065S06/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/WG	m3	0	0	0
065S06/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 BB/WG	m3	21,398	5922,3	126725,28
065S06/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/WG	m3	2,5149	6108,3	15361,94
065S06/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/WG	m3	14,137	6226,92	88029,79
065S06/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/WG	m3	0	0	0
065S06/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/WG	m3	41,408	6676,88	276476,11
065S06/27 E	Sklejka liściasta wodoodporna 6,5x2150x3850 BB/WG	m3	0	0	0
065S06/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 BB/WG	m3	0	0	0
065S07/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 CP/CP	m3	0	0	0
065S07/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 CP/CP	m3	4,8695	5141,91	25038,41
065S07/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 CP/CP	m3	0	0	0
065S07/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 CP/CP	m3	0	0	0
065S07/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 CP/CP	m3	25,389	4900	124406,1
065S09/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 WG/WG	m3	0	0	0
065S09/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 WG/WG	m3	0	0	0
065S09/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 WG/WG	m3	0	0	0
065S09/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 WG/WG	m3	0	0	0,07
065S09/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500 WG/WG	m3	0	0	0
065S09/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 WG/WG	m3	0	0	0
065S09/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 WG/WG	m3	0	0	0
065S09/39 E	Sklejka liściasta wodoodporna 6,5x1220x2500 WG/WG	m3	0	0	0
065S09/60 E	Sklejka liściasta wodoodporna 6,5x1250x2750 WG/WG	m3	0	0	0
065S09/62 E	Sklejka liściasta wodoodporna 6,5x2150x3050 WG/WG	m3	0	0	0
065S09/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 WGE/WGE	m3	0	0	0
065S09/90 E	Sklejka liściasta wodoodporna 6,5x1525x3340 WG/WG	m3	0	0	0
065S10/03 E S2S	Sklejka liściasta wodoodporna 6,5x1220x2440 C/C	m3	0	0	0
065S10/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 C/C	m3	0	0	0
065S10/05 E S2S	Sklejka liściasta wodoodporna 6,5x1250x2500 C/C	m3	2,234	4191,26	9363,28
065S10/05 E TB	Sklejka bintangor/topola 6,5x1250x2500 C/C	m3	0	0	0
065S10/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 C/C	m3	7,313	3519,4	25737,35
065S10/06 E S2S	Sklejka liściasta wodoodporna 6,5x2500x1250 C/C	m3	0	0	0
065S10/12 E S2S	Sklejka liściasta wodoodporna 6,5x1500x3000 C/C	m3	0	0	0
065S11/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 kilo	m3	0	0	0
065S11/03 E PQ	Sklejka liściasta wodoodporna 6,5x1220x2440	m3	0	0	0
065S11/03 PQ	Sklejka liściasta foliowana 6,5x1220x2440	m3	0	0	0
065S11/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 kilo	m3	0	0	0
065S11/05 E PQ	Sklejka liściasta wodoodporna 6,5x1250x2500	m3	0	0	0
065S11/05 E PQ-F	Sklejka liściasta wodoodporna 6,5x1250x2500	m3	0	0	0
065S11/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500	m3	0	0	0
065S11/07 PQ	Sklejka liściasta foliowana 6,5x1500x2500	m3	0	0	0
065S11/07 PQ F	Sklejka liściasta laminowana 6,5x1500x2500	m3	0	0	0
065S11/09 E	Sklejka liściasta wodoodporna 6,5x1525x2500 kilo	m3	0	0	0
065S11/106 PQ F	Sklejka liściasta foliowana 6,5x1850x1220	m3	0	0	0
065S11/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 kilo	m3	0,091	2972,09	270,46
065S11/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 kilo	m3	0	0	0
065S11/12 PQ	Sklejka liściasta suchotrwała 6,5x1500x3000	m3	0	0	0
065S11/12 PQ F	Sklejka liściasta foliowana 6,5x1500x3000	m3	0,937	2067,06	1936,84
065S11/26 PQ	Sklejka liściasta wodoodporna 6,5x2150x1250	m3	0	0	0
065S11/26 PQ F	Sklejka liściasta wodoodporna 6,5x2150x1250	m3	0	0	0
065S11/29 E	Sklejka liściasta wodoodporna 6,5x1250x3050	m3	0,5695	2731,81	1555,85
065S11/56 E	Sklejka liściasta wodoodporna 6,5x1525x2750 kilo	m3	0	0	0
065S11/60 E	Sklejka liściasta wodoodporna 6,5x1250x2750	m3	0	0	0
065S11/64 PQ	Sklejka liściasta wodoodporna 6,5x1200x2400 kilo PQ	m3	0	0	0
065S11/65 PQ	Sklejka liściasta suchotrwała 6,5x1525x2150	m3	0	0	0
065S11/69 E	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo	m3	0	0	0
065S11/69 PQ	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo	m3	0	0	0
065S11/69 PQ F	Sklejka liściasta foliowana 6,5x2150x1525 kilo	m3	0,745	1942,05	1446,77
065S11/72 F/F	Sklejka liściasta foliowana 6,5x780x1960mm	m3	0	0	0
065S12/03 F/F	Sklejka liściasta foliowana 6,5x1220x2440 F/F	m3	0	0	0
065S12/03 F/F black	Sklejka liściasta foliowana 6,5x1220x2440 F/F czarna	m3	0	0	0
065S12/03 F/F green	Sklejka liściasta foliowana 6,5x1220x2440 F/F zielona	m3	0	0	0
065S12/05 F/F	Sklejka liściasta foliowana 6,5x1250x2500 F/F	m3	11,2717	6261,75	70580,21
065S12/05 F/F black	Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna	m3	14,4989	6551,76	94993,32
065S12/05 F/F green	Sklejka liściasta foliowana 6,5x1250x2500 F/F zielona	m3	0	0	0
065S12/05 F/F grey	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara	m3	7,311	6075,39	44416,97
065S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/ciemny brąz	m3	4,417	7042,95	31108,7
065S12/05 F/F grey/yell.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/żółta	m3	0	0	0
065S12/05 F/F yell.	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta	m3	0	0	0
065S12/05 M/F	Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa	m3	0	0	0
065S12/05 M/M white	Sklejka liściasta foliowana 6,5x1250x2500 M/M	m3	1,7878	5968,68	10671,1
065S12/09 F/F	Sklejka liściasta foliowana 6,5x1525x2500 F/F	m3	0	0	0
065S12/11 F/F	Sklejka liściasta foliowana 6,5x1525x3050 F/F	m3	1,1794	6027,17	7108,26
065S12/11 F/F grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara	m3	0	0	0
065S12/11 F/F grey / d.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/ciemny brąz	m3	0	0	0
065S12/12	Sklejka liściasta foliowana 6,5x1500x3000 F/F ciemny brąz	m3	0	0	0
065S12/12 F/F	Sklejka liściasta foliowana 6,5x1500x3000 F/F	m3	6,3439	7001,3	44415,33
065S12/12 F/F black	Sklejka liściasta foliowana 6,5x1500x3000 F/F czarna	m3	0	0	0
065S12/12 F/F grey	Sklejka liściasta foliowana 6,5x1500x3000 F/F szara	m3	0	0	0
065S12/12 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1500x3000 F/F grey/d.brown	m3	9,331	8945,72	83472,53
