Stany magazynowe towarów: na dzień 2026-09-07	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
065S05/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 BB/CP		m2		0	0,00	0,00		
065S06/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 BB/WG		m2		0	0,00	0,00		
065S06/04 E		Sklejka liściasta wodoodporna 6,5x2440x1220 BB/WG		m2		2905,0762	38,47	111768,38		
065S06/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 BB/WG		m2		423,66	40,04	16961,91		
065S06/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 BB/WG		m2		2217,8731	39,71	88075,65		
065S06/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 BB/WG		m2		0	0,00	0,00		
065S06/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 BB/WG		m2		7148,0711	42,79	305898,89		
065S06/27 E		Sklejka liściasta wodoodporna 6,5x2150x3850 BB/WG		m2		0	0,00	0,00		
065S06/75 E		Sklejka liściasta wodoodporna 6,5x2150x4000 BB/WG		m2		0	0,00	0,00		
065S07/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 CP/CP		m2		0	0,00	0,00		
065S07/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 CP/CP		m2		0	0,00	0,00		
065S07/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 CP/CP		m2		0	0,00	0,00		
065S07/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 CP/CP		m2		0	0,00	0,00		
065S07/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 CP/CP		m2		3892,4628	31,85	123974,90		
065S09/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 WG/WG		m2		0	0,00	0,00		
065S09/04 E		Sklejka liściasta wodoodporna 6,5x2440x1220 WG/WG		m2		0	0,00	0,00		
065S09/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 WG/WG		m2		281,2309	32,28	9076,74		
065S09/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 WG/WG		m2		0	0,00	0,07		
065S09/07 E		Sklejka liściasta wodoodporna 6,5x1500x2500 WG/WG		m2		0	0,00	0,00		
065S09/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 WG/WG		m2		0	0,00	0,00		
065S09/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 WG/WG		m2		0	0,00	0,00		
065S09/39 E		Sklejka liściasta wodoodporna 6,5x1220x2500 WG/WG		m2		0	0,00	0,00		
065S09/60 E		Sklejka liściasta wodoodporna 6,5x1250x2750 WG/WG		m2		0	0,00	0,00		
065S09/62 E		Sklejka liściasta wodoodporna 6,5x2150x3050 WG/WG		m2		0	0,00	0,00		
065S09/75 E		Sklejka liściasta wodoodporna 6,5x2150x4000 WGE/WGE		m2		0	0,00	0,00		
065S09/90 E		Sklejka liściasta wodoodporna 6,5x1525x3340 WG/WG		m2		0	0,00	0,00		
065S10/03 E S2S		Sklejka liściasta wodoodporna 6,5x1220x2440 C/C		m2		0	0,00	0,00		
065S10/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 C/C		m2		0	0,00	0,00		
065S10/05 E S2S		Sklejka liściasta wodoodporna 6,5x1250x2500 C/C		m2		396,6141	27,59	10941,61		
065S10/05 E TB		Sklejka bintangor/topola 6,5x1250x2500 C/C		m2		0	0,00	0,00		
065S10/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 C/C		m2		0	0,00	0,00		
065S10/06 E S2S		Sklejka liściasta wodoodporna 6,5x2500x1250 C/C		m2		0	0,00	0,00		
065S10/12 E S2S		Sklejka liściasta wodoodporna 6,5x1500x3000 C/C		m2		0	0,00	0,00		
065S11/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 kilo		m2		267,8462	19,32	5173,52		
065S11/03 E PQ		Sklejka liściasta wodoodporna 6,5x1220x2440		m2		0	0,00	0,00		
065S11/03 PQ		Sklejka liściasta foliowana 6,5x1220x2440		m2		0	0,00	0,00		
065S11/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 kilo		m2		0	0,00	0,00		
