Stany magazynowe towarów: na dzień 2026-04-27, jednostka dodatkowa1					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
065S13/09 F/F l.br.	Sklejka liściasta foliowana 6,5x1525x2500 F/F jasny brąz	szt	0	0	0
065S13/11 F/F	Sklejka liściasta foliowana 6,5x1525x3050 F/F	szt	268,9546	158,08	42517,67
065S13/11 F/F grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F grey	szt	218,9628	145,19	31791,06
065S13/11 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/brąz	szt	69,9887	145,73	10199,64
065S13/11 F/F l.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz	szt	0	0	0
065S13/11 F/F light grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F jasno szary	szt	0	0	0
065S13/11 M/M white	Sklejka liściasta melamina biała 6,5x1525x3050 M/M white	szt	25,0045	190,23	4756,71
065S13/12 F/F	Sklejka liściasta foliowana 6,5x1500x3000 F/F	szt	90,0086	155,55	14000,91
065S13/12 F/F grey	Sklejka liściasta foliowana 6,5x1500x3000 F/F szara	szt	0	0	0
065S13/12 F/F l.br	Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz	szt	0	0	0
065S13/29 F/F	Sklejka liściasta foliowana 6,5x1250x3050 F/F	szt	0	0	0
065S13/57 F/F	Sklejka liściasta foliowana 6,5x2150x3340 F/F	szt	0	0	0
065S13/60 F/F	Sklejka liściasta foliowana 6,5x1250x2750mm	szt	6,9816	107,87	753,07
065S13/62 F/F	Sklejka liściasta foliowana 6,5x2150x3050 F/F ciemny brąz	szt	0	0	0
065S14/03 F/W	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W	szt	0	0	0
065S14/03 F/W smooth black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W Smooth Mesh czarna	szt	0	0	0
065S14/03 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus black	szt	449,3687	124,22	55818,57
065S14/03 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus szara	szt	0	0	0
065S14/03 F/WT	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus	szt	0	0	0
065S14/05 F/W	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W	szt	77,9296	130,06	10135,76
065S14/05 F/W black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W czarna	szt	0	0	0
065S14/05 F/W Black/d.br	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W czarna/ ciemny brąz	szt	0	0	0
