Stany magazynowe towarów: na dzień 2026-04-27					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
05S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F szara/ciemny brąz	m2	5743,421	67,17	385775,12
05S12/09 F/F grey/d.br.	Sklejka liściasta foliowana 5x1530x2500 F/F szara/ciemny brąz	m2	4592,7551	77,07	353976,66
05S12/12 F/F grey/d.br	Sklejka liściasta foliowana 5x1500x3000 F/F grey/dark brown	m2	0	0	0
05S13/05 F/F grey/d.br.	Sklejka liściasta foliowana 5x1250x2500 F/F grey/dark brown	m2	659,2571	29,84	19671,21
05S13/09 F/F grey/d.br.	Sklejka liściasta foliowana 5x1525x2500 F/F szara/ciemnobrązowa	m2	0	0	0
05S18/05 E	Sklejka liściasta wodoodporna 5x1250x2500 CP/C	m2	0	0	0
05S18/11 E	Sklejka liściasta wodoodporna 5x1525x3050 CP/C	m2	0	0	0
05S18/12 E	Sklejka liściasta wodoodporna 5x1500x3000 CP/C	m2	0	0	0
05S22/02	Sklejka liściasta suchotrwała 5x1525x1525 BB/C	m2	0	0	0
05S22/05 E	Sklejka liściasta wodoodporna 5x1250x2500 BB/C	m2	0	0	0
05S22/11 E	Sklejka liściasta wodoodporna 5x1525x3050 BB/C	m2	0	0	0
05S22/12 E	Sklejka liściasta wodoodporna 5x1500x3000 BB/C	m2	0	0	0
065S/ALU E	sklejka liściasta WD, gr. 6,5mm	m2	0	0	0
065S04/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/BB	m2	0	0	0
065S04/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/BB	m2	0	0	0
065S04/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/BB	m2	0	0	0
065S04/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/BB	m2	0	0	0
065S04/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/BB	m2	180,0001	44,55	8018,14
065S05/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/CP	m2	1031,257	40,28	41536,59
065S05/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/CP	m2	258,9515	37,37	9678,31
065S05/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/CP	m2	0	0	0
065S06/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 BB/WG	m2	0	0	0
065S06/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 BB/WG	m2	3291,9994	38,49	126725,28
065S06/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 BB/WG	m2	386,9123	39,7	15361,94
065S06/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 BB/WG	m2	2174,9197	40,47	88029,79
065S06/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 BB/WG	m2	0	0	0
065S06/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 BB/WG	m2	6370,4572	43,4	276476,11
065S06/27 E	Sklejka liściasta wodoodporna 6,5x2150x3850 BB/WG	m2	0	0	0
065S06/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 BB/WG	m2	0	0	0
065S07/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 CP/CP	m2	0	0	0
065S07/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 CP/CP	m2	749,1506	33,42	25038,41
065S07/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 CP/CP	m2	0	0	0
065S07/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 CP/CP	m2	0	0	0
065S07/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 CP/CP	m2	3906,0013	31,85	124406,1
065S09/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 WG/WG	m2	0	0	0
065S09/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 WG/WG	m2	0	0	0
065S09/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 WG/WG	m2	0	0	0
065S09/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 WG/WG	m2	0	0	0,07
065S09/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500 WG/WG	m2	0	0	0
065S09/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 WG/WG	m2	0	0	0
065S09/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 WG/WG	m2	0	0	0
065S09/39 E	Sklejka liściasta wodoodporna 6,5x1220x2500 WG/WG	m2	0	0	0
065S09/60 E	Sklejka liściasta wodoodporna 6,5x1250x2750 WG/WG	m2	0	0	0
065S09/62 E	Sklejka liściasta wodoodporna 6,5x2150x3050 WG/WG	m2	0	0	0
065S09/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 WGE/WGE	m2	0	0	0
065S09/90 E	Sklejka liściasta wodoodporna 6,5x1525x3340 WG/WG	m2	0	0	0
065S10/03 E S2S	Sklejka liściasta wodoodporna 6,5x1220x2440 C/C	m2	0	0	0
065S10/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 C/C	m2	0	0	0
065S10/05 E S2S	Sklejka liściasta wodoodporna 6,5x1250x2500 C/C	m2	343,6924	27,24	9363,28
065S10/05 E TB	Sklejka bintangor/topola 6,5x1250x2500 C/C	m2	0	0	0
065S10/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 C/C	m2	1125,0773	22,88	25737,35
065S10/06 E S2S	Sklejka liściasta wodoodporna 6,5x2500x1250 C/C	m2	0	0	0
065S10/12 E S2S	Sklejka liściasta wodoodporna 6,5x1500x3000 C/C	m2	0	0	0
065S11/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 kilo	m2	0	0	0
065S11/03 E PQ	Sklejka liściasta wodoodporna 6,5x1220x2440	m2	0	0	0
065S11/03 PQ	Sklejka liściasta foliowana 6,5x1220x2440	m2	0	0	0
065S11/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 kilo	m2	0	0	0
065S11/05 E PQ	Sklejka liściasta wodoodporna 6,5x1250x2500	m2	0	0	0
065S11/05 E PQ-F	Sklejka liściasta wodoodporna 6,5x1250x2500	m2	0	0	0
065S11/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500	m2	0	0	0
065S11/07 PQ	Sklejka liściasta foliowana 6,5x1500x2500	m2	0	0	0
065S11/07 PQ F	Sklejka liściasta laminowana 6,5x1500x2500	m2	0	0	0
065S11/09 E	Sklejka liściasta wodoodporna 6,5x1525x2500 kilo	m2	0	0	0
065S11/106 PQ F	Sklejka liściasta foliowana 6,5x1850x1220	m2	0	0	0
065S11/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 kilo	m2	14	19,32	270,46
065S11/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 kilo	m2	0	0	0
065S11/12 PQ	Sklejka liściasta suchotrwała 6,5x1500x3000	m2	0	0	0
065S11/12 PQ F	Sklejka liściasta foliowana 6,5x1500x3000	m2	144,1539	13,44	1936,84
065S11/26 PQ	Sklejka liściasta wodoodporna 6,5x2150x1250	m2	0	0	0
065S11/26 PQ F	Sklejka liściasta wodoodporna 6,5x2150x1250	m2	0	0	0
065S11/29 E	Sklejka liściasta wodoodporna 6,5x1250x3050	m2	87,6202	17,76	1555,85
065S11/56 E	Sklejka liściasta wodoodporna 6,5x1525x2750 kilo	m2	0	0	0
065S11/60 E	Sklejka liściasta wodoodporna 6,5x1250x2750	m2	0	0	0
065S11/64 PQ	Sklejka liściasta wodoodporna 6,5x1200x2400 kilo PQ	m2	0	0	0
065S11/65 PQ	Sklejka liściasta suchotrwała 6,5x1525x2150	m2	0	0	0
065S11/69 E	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo	m2	0	0	0
065S11/69 PQ	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo	m2	0	0	0
065S11/69 PQ F	Sklejka liściasta foliowana 6,5x2150x1525 kilo	m2	114,6108	12,62	1446,77
065S11/72 F/F	Sklejka liściasta foliowana 6,5x780x1960mm	m2	0	0	0
065S12/03 F/F	Sklejka liściasta foliowana 6,5x1220x2440 F/F	m2	0	0	0
065S12/03 F/F black	Sklejka liściasta foliowana 6,5x1220x2440 F/F czarna	m2	0	0	0
065S12/03 F/F green	Sklejka liściasta foliowana 6,5x1220x2440 F/F zielona	m2	0	0	0
065S12/05 F/F	Sklejka liściasta foliowana 6,5x1250x2500 F/F	m2	1734,1006	40,7	70580,21
065S12/05 F/F black	Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna	m2	2230,6025	42,59	94993,32
065S12/05 F/F green	Sklejka liściasta foliowana 6,5x1250x2500 F/F zielona	m2	0	0	0
065S12/05 F/F grey	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara	m2	1124,7646	39,49	44416,97
065S12/05 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/ciemny brąz	m2	679,5389	45,78	31108,7
065S12/05 F/F grey/yell.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/żółta	m2	0	0	0
